Time	Target	Distance	Bearing
0,9	20	17,6969	125,899
0,9	21	49,1107	33,0775
0,9	22	42,833	122,125
0,9	23	43,427	189,239
0,9	25	19,954	135,131
===========================================
1	0	26,7395	161,904
1	1	36,8119	128,612
1	2	47,0882	87,1061
1	3	16,0082	304,524
1	4	33,7723	39,3287
1	5	41,1945	110,278
1	6	46,8047	351,915
1	7	29,3496	197,3
1	8	34,6269	316,213
1	9	32,2806	287,578
1	11	43,0372	130,695
1	15	36,38	139,892
1	16	35,358	236,409
1	17	41,0914	9,30348
1	18	37,8825	337,129
1	19	22,6427	209,273
1	20	17,1233	122,926
1	22	42,6338	121,901
1	23	43,5364	189,332
1	25	20,4137	135,083
===========================================
1,1	0	27,3591	160,935
1,1	1	37,7443	128,795
1,1	2	47,8654	87,8266
1,1	3	16,2142	309,666
1,1	4	33,3322	41,0317
1,1	5	41,3139	110,152
1,1	6	46,5654	350,673
1,1	7	29,9346	198,043
1,1	8	34,9387	316,035
1,1	9	31,6476	288,848
1,1	11	43,6835	133,322
1,1	15	36,4703	140,039
1,1	16	34,29	236,515
1,1	17	40,9314	9,2233
1,1	18	37,3383	336,321
1,1	19	21,9315	207,653
1,1	20	16,5988	119,756
1,1	22	42,4353	121,674
1,1	23	43,6964	189,466
1,1	25	20,9933	135,025
===========================================
1,2	0	27,9862	160,01
1,2	1	38,6969	128,973
1,2	2	48,6499	88,524
1,2	3	16,5908	315,173
1,2	4	32,8719	43,0062
1,2	5	41,3697	110,093
1,2	6	46,3363	349,345
1,2	7	30,5582	198,797
1,2	8	35,2697	315,85
1,2	9	31,0307	290,169
1,2	11	44,4713	136,034
1,2	15	36,6305	140,298
1,2	16	33,2221	236,629
1,2	17	40,7903	9,15202
1,2	18	36,8017	335,489
1,2	19	21,2389	205,927
1,2	20	16,1284	116,39
1,2	22	42,2373	121,446
1,2	23	43,9074	189,642
1,2	25	21,6929	134,96
===========================================
1,3	0	28,6203	159,126
1,3	1	39,6697	129,147
1,3	2	49,4413	89,1992
1,3	3	17,1721	320,886
1,3	4	32,4065	45,2684
1,3	5	41,3618	110,102
1,3	6	46,122	347,932
1,3	7	31,2211	199,56
1,3	8	35,62	315,657
1,3	9	30,431	291,543
1,3	11	45,4136	138,807
1,3	15	36,8617	140,665
1,3	16	32,1543	236,75
1,3	17	40,668	9,08985
1,3	18	36,2731	334,633
1,3	19	20,567	204,086
1,3	20	15,7168	112,835
1,3	22	42,0401	121,216
1,3	23	44,1696	189,857
1,3	25	22,5125	134,888
===========================================
1,4	0	29,2609	158,28
1,4	1	40,6627	129,315
1,4	3	17,9858	326,631
1,4	4	31,9539	47,8336
1,4	5	41,29	110,177
1,4	6	45,9271	346,433
1,4	7	31,9236	200,327
1,4	8	35,9897	315,459
1,4	9	29,8495	292,971
1,4	11	46,5226	141,614
1,4	15	37,1652	141,137
1,4	16	31,0867	236,879
1,4	17	40,5646	9,03696
1,4	18	35,7529	333,751
1,4	19	19,9176	202,123
1,4	20	15,3689	109,104
1,4	22	41,8436	120,983
1,4	23	44,4834	190,11
1,4	25	23,452	134,812
===========================================
1,5	0	29,9076	157,47
1,5	1	41,676	129,478
1,5	3	19,051	332,235
1,5	4	31,5345	50,7144
1,5	5	41,1547	110,32
1,5	6	45,7568	344,847
1,5	7	32,6663	201,097
1,5	8	36,3789	315,254
1,5	9	29,2873	294,455
1,5	11	47,8087	144,429
1,5	14	49,8151	278,311
1,5	15	37,5427	141,707
1,5	16	30,0192	237,017
1,5	17	40,48	8,99348
1,5	18	35,2413	332,844
1,5	19	19,2932	200,03
1,5	20	15,089	105,217
1,5	22	41,6477	120,749
1,5	23	44,8491	190,401
1,5	25	24,5114	134,734
===========================================
1,6	0	30,56	156,695
1,6	1	42,7094	129,636
1,6	3	20,3777	337,557
1,6	4	31,1722	53,9183
1,6	5	40,9562	110,532
1,6	6	45,6162	343,176
1,6	7	33,4496	201,865
1,6	8	36,7874	315,044
1,6	9	28,7455	295,996
1,6	11	49,2806	147,227
1,6	14	49,6522	276,662
1,6	15	37,9962	142,371
1,6	16	28,952	237,166
1,6	17	40,4142	8,95953
1,6	18	34,7389	331,91
1,6	19	18,6963	197,8
1,6	20	14,8809	101,203
1,6	22	41,4526	120,512
1,6	23	45,2672	190,725
1,6	25	25,6909	134,654
===========================================
1,7	0	31,2178	155,953
1,7	1	43,763	129,79
1,7	3	21,968	342,499
1,7	4	30,8931	57,4449
1,7	5	40,695	110,815
1,7	6	45,5111	341,42
1,7	7	34,2738	202,63
1,7	8	37,2156	314,829
1,7	9	28,2252	297,595
1,7	14	49,5279	274,958
1,7	15	38,5278	143,12
1,7	16	27,8849	237,326
1,7	17	40,3673	8,93522
1,7	18	34,2459	330,949
1,7	19	18,1295	195,427
1,7	20	14,7477	97,096
1,7	22	41,2582	120,272
1,7	23	45,7382	191,083
1,7	25	26,9904	134,574
===========================================
1,8	0	31,8806	155,241
1,8	1	44,8368	129,94
1,8	3	23,8177	347,005
1,8	4	30,726	61,2827
1,8	5	40,3718	111,172
1,8	6	45,4472	339,583
1,8	7	35,1393	203,389
1,8	8	37,6632	314,61
1,8	9	27,7278	299,253
1,8	14	49,446	273,201
1,8	15	39,1401	143,947
1,8	16	26,8181	237,498
1,8	17	40,3391	8,9206
1,8	18	33,7629	329,96
1,8	19	17,5957	192,906
1,8	20	14,6914	92,9357
1,8	22	41,0645	120,031
1,8	23	46,2626	191,471
1,8	25	28,4099	134,495
===========================================
1,9	0	32,5482	154,558
1,9	1	45,9308	130,084
1,9	3	25,9192	351,06
1,9	4	30,701	65,4062
1,9	5	39,9878	111,606
1,9	6	45,4304	337,666
1,9	7	36,0463	204,14
1,9	8	38,1305	314,387
1,9	9	27,2544	300,97
1,9	14	49,4104	271,393
1,9	15	39,8355	144,843
1,9	16	25,7515	237,685
1,9	17	40,3297	8,91573
1,9	18	33,2902	328,943
1,9	19	17,0981	190,232
1,9	20	14,7129	88,7656
1,9	22	40,8715	119,787
1,9	23	46,841	191,887
1,9	25	29,9494	134,418
===========================================
2	0	33,2201	153,903
2	1	47,045	130,225
2	3	28,2628	354,677
2	4	30,8485	69,774
2	5	39,5439	112,121
2	6	45,4669	335,675
2	7	36,9952	204,882
2	8	38,6175	314,161
2	9	26,8063	302,746
2	14	49,4252	269,538
2	15	40,6166	145,799
2	16	24,6853	237,888
2	17	40,3391	8,9206
2	18	32,8283	327,897
2	19	16,6399	187,405
2	20	14,8119	84,6295
2	22	40,6793	119,541
2	23	47,4739	192,329
2	25	31,6089	134,343
===========================================
2,1	0	33,8963	153,274
2,1	1	48,1794	130,361
2,1	3	30,8385	357,884
2,1	4	31,1979	74,3286
2,1	5	39,0418	112,723
2,1	6	45,5626	333,613
2,1	7	37,986	205,612
2,1	8	39,1242	313,932
2,1	9	26,3848	304,58
2,1	14	49,4939	267,64
2,1	15	41,486	146,807
2,1	16	23,6193	238,11
2,1	17	40,3673	8,93522
2,1	18	32,3776	326,822
2,1	19	16,2245	184,425
2,1	20	14,9868	80,5691
2,1	22	40,4878	119,293
2,1	23	48,162	192,795
2,1	25	33,3884	134,271
===========================================
2,2	0	34,5763	152,67
2,2	1	49,3339	130,494
2,2	3	33,6365	0,719142
2,2	4	31,7753	78,9992
2,2	5	38,4831	113,418
2,2	6	45,7239	331,489
2,2	7	39,0191	206,329
2,2	8	39,6506	313,7
2,2	9	25,9913	306,472
2,2	14	49,6205	265,703
